 1A
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
 sfsarp-20-15-1,20,15,15,65.3557,41.3755,0.71162,4,0.03,106.02,Optimal,41.2654,41.2654,0
 sfsarp-20-15-2,20,15,15,66.0157,41.348,1.22949,4,0.03,106.134,Optimal,41.0673,41.0673,0
 sfsarp-20-15-3,20,15,15,65.9575,41.2303,1.18731,6,0.04,106.001,Optimal,41.1481,41.1481,0
 sfsarp-20-15-4,20,15,15,65.737,41.8004,1.15414,5,0.02,106.383,Optimal,41.5271,41.5272,0.000332312
 sfsarp-20-15-5,20,15,15,65.4454,41.5235,1.04544,3,0.02,105.923,Optimal,41.2306,41.2312,0.00133879
 sfsarp-20-20-1,20,20,20,65.3771,55.1519,0.929706,4,0.04,119.599,Optimal,55.0639,55.0684,0.00827056
 sfsarp-20-20-2,20,20,20,65.4459,54.9213,0.835314,5,0.04,119.532,Optimal,54.8614,54.8647,0.0059597
 sfsarp-20-20-3,20,20,20,65.6289,55.2721,1.11338,3,0.03,119.788,Optimal,55.0802,55.0811,0.00172421
 sfsarp-20-20-4,20,20,20,65.9879,55.3251,1.39394,4,0.03,119.919,Optimal,55.1505,55.1505,0
 sfsarp-20-20-5,20,20,20,65.0859,55.3245,1.13491,3,0.03,119.275,Optimal,54.7018,54.7018,0
 sfsarp-20-30-1,20,30,30,66.0763,82.5546,1.25286,6,0.04,147.378,Optimal,82.3154,82.3155,9.92494e-05
 sfsarp-20-30-2,20,30,30,65.3919,82.669,1.46611,5,0.04,146.595,Optimal,82.3506,82.352,0.00168398
 sfsarp-20-30-3,20,30,30,65.1138,82.6958,0.895114,3,0.04,146.915,Optimal,82.5612,82.5631,0.00223167
 sfsarp-20-30-4,20,30,30,65.5156,82.7375,1.14181,4,0.04,147.111,Optimal,82.5401,82.5401,0
 sfsarp-20-30-5,20,30,30,65.8243,82.5825,1.18317,4,0.06,147.224,Optimal,82.3436,82.3436,0
 sfsarp-30-10-1,30,10,10,97.9884,27.5326,0.791706,4,0.02,124.729,Optimal,27.4973,27.4973,0
 sfsarp-30-10-2,30,10,10,98.5173,27.5518,1.22309,5,0.03,124.846,Optimal,27.5113,27.5113,0
 sfsarp-30-10-3,30,10,10,98.2117,27.9477,1.20998,6,0.03,124.949,Optimal,27.6819,27.6819,0
 sfsarp-30-10-4,30,10,10,97.9511,27.5341,1.08026,4,0.03,124.405,Optimal,27.5191,27.5191,0
 sfsarp-30-10-5,30,10,10,98.4169,27.7069,1.34614,7,0.05,124.778,Optimal,27.6332,27.6332,-1.28567e-14
 sfsarp-30-15-1,30,15,15,98.0392,41.7689,1.45309,8,0.04,138.355,Optimal,41.42,41.4202,0.000512499
 sfsarp-30-15-2,30,15,15,98.3355,41.316,1.32434,5,0.04,138.327,Optimal,41.2625,41.2625,0
 sfsarp-30-15-3,30,15,15,97.8333,41.3326,0.993462,4,0.05,138.172,Optimal,41.2316,41.2316,0
 sfsarp-30-15-4,30,15,15,98.475,41.2616,1.35498,6,0.05,138.382,Optimal,41.2314,41.2314,0
 sfsarp-30-15-5,30,15,15,98.7546,41.3171,1.64077,5,0.04,138.431,Optimal,41.2288,41.2288,0
 sfsarp-30-20-1,30,20,20,98.1419,55.1314,1.05285,5,0.04,152.221,Optimal,54.9917,54.9917,0
 sfsarp-30-20-2,30,20,20,98.2923,55.2879,1.66184,5,0.05,151.918,Optimal,55.0961,55.0961,-1.28964e-14
 sfsarp-30-20-3,30,20,20,98.5095,55.4078,1.56524,5,0.04,152.352,Optimal,55.2943,55.2943,0
 sfsarp-30-20-4,30,20,20,98.0399,55.284,1.24885,6,0.06,152.075,Optimal,55.0069,55.0117,0.00865498
 sfsarp-30-20-5,30,20,20,98.082,54.9842,1.04029,4,0.05,152.026,Optimal,54.9114,54.9114,0
 sfsarp-30-30-1,30,30,30,98.2337,82.8999,1.50438,4,0.09,179.629,Optimal,82.5905,82.5974,0.00835433
 sfsarp-30-30-2,30,30,30,97.8486,82.6926,1.24071,6,0.1,179.3,Optimal,82.4616,82.4616,0
 sfsarp-30-30-3,30,30,30,97.7056,82.6289,1.08808,5,0.06,179.246,Optimal,82.2931,82.2942,0.00128636
 sfsarp-30-30-4,30,30,30,97.6671,82.5988,0.96738,5,0.05,179.299,Optimal,82.0364,82.0364,0
 sfsarp-30-30-5,30,30,30,98.0993,82.6689,1.06531,6,0.08,179.703,Optimal,82.3748,82.3769,0.00256868
