 1A
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
 sfsarp-10-5-1,10,5,5,32.683,14.0443,0.660422,3,0.01,46.0669,Optimal,13.7665,13.7665,-1.29035e-14
 sfsarp-10-5-2,10,5,5,32.5495,14.1135,0.73416,3,0,45.9288,Optimal,13.7769,13.7769,-1.28938e-14
 sfsarp-10-5-3,10,5,5,32.7185,13.734,0.428168,2,0,46.0243,Optimal,13.6955,13.6955,0
 sfsarp-10-5-4,10,5,5,32.7662,13.7669,0.404708,3,0.01,46.1284,Optimal,13.7433,13.7433,-1.29253e-14
 sfsarp-10-5-5,10,5,5,32.8951,13.7559,0.52509,2,0.01,46.126,Optimal,13.702,13.702,0
 sfsarp-5-10-1,5,10,10,16.2458,27.74,0.40388,2,0.01,43.5819,Optimal,27.4857,27.4857,0
 sfsarp-5-10-2,5,10,10,16.5665,27.5083,0.630246,2,0,43.4445,Optimal,27.3671,27.3671,0
 sfsarp-5-10-3,5,10,10,16.22,27.5389,0.564374,1,0.01,43.1946,Optimal,27.2441,27.2463,0.00814909
 sfsarp-5-10-4,5,10,10,16.327,27.5631,0.394864,1,0.01,43.4952,Optimal,27.4806,27.4806,0
 sfsarp-5-10-5,5,10,10,16.5009,27.5269,0.382628,2,0.01,43.6451,Optimal,27.4213,27.4213,0
 sfsarp-5-5-1,5,5,5,16.5063,13.7375,0.693496,1,0,29.5503,Optimal,13.5607,13.5607,0
 sfsarp-5-5-2,5,5,5,16.2949,13.8058,0.204286,2,0.01,29.8964,Optimal,13.7622,13.7622,0
 sfsarp-5-5-3,5,5,5,16.2879,13.7496,0.197938,1,0,29.8396,Optimal,13.7492,13.7492,-1.29197e-14
 sfsarp-5-5-4,5,5,5,16.2493,13.7662,0.193614,2,0,29.822,Optimal,13.7363,13.7363,0
 sfsarp-5-5-5,5,5,5,16.4427,14.3439,0.776894,1,0,30.0097,Optimal,14.0133,14.0133,0
 sfsarp-5-6-1,5,6,6,16.269,16.5383,0.286764,1,0.01,32.5205,Optimal,16.5282,16.5282,0
 sfsarp-5-6-2,5,6,6,16.2833,16.5662,0.204884,2,0,32.6446,Optimal,16.4477,16.4477,-2.16001e-14
 sfsarp-5-6-3,5,6,6,16.3803,16.4846,0.244582,2,0,32.6202,Optimal,16.4139,16.4139,0
