 1A
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
 ghsarp-10-5-0,10,5,3,88.8049,29.4929,75.7013,4,0.01,42.5965,Optimal,14.0093,14.0093,0
 ghsarp-10-5-1,10,5,4,97.4939,29.9687,74.6166,2,0.02,52.846,Optimal,19.3767,19.3767,-1.8335e-14
 ghsarp-10-5-2,10,5,4,83.8238,28.0132,66.459,2,0.01,45.378,Optimal,21.2549,21.2549,0
 ghsarp-10-5-3,10,5,3,68.2213,23.4903,47.1877,3,0.01,44.524,Optimal,17.1479,17.1479,0
 ghsarp-10-5-4,10,5,3,64.2455,30.3412,56.5073,3,0.01,38.0794,Optimal,19.82,19.82,0
 ghsarp-10-5-5,10,5,4,83.1419,27.721,65.1286,4,0,45.7343,Optimal,11.4885,11.4885,0
 ghsarp-10-5-6,10,5,4,83.1955,21.2802,59.9104,2,0.01,44.5653,Optimal,16.0316,16.0316,-2.21607e-14
 ghsarp-10-5-7,10,5,4,88.158,24.9721,61.1763,3,0.01,51.9538,Optimal,15.5779,15.5779,0
 ghsarp-10-5-8,10,5,4,89.4908,32.96,62.1994,3,0.01,60.2515,Optimal,24.1703,24.1703,0
 ghsarp-10-5-9,10,5,4,80.3259,27.0072,70.1638,3,0.01,37.1693,Optimal,11.6303,11.6303,0
 ghsarp-5-10-0,5,10,3,55.2638,23.2065,48.8548,2,0,29.6155,Optimal,11.4746,11.4746,0
 ghsarp-5-10-1,5,10,3,48.7501,32.7731,39.8075,3,0.01,41.7156,Optimal,22.3798,22.3798,0
 ghsarp-5-10-2,5,10,2,46.5871,14.1668,35.19,2,0,25.5638,Optimal,9.69834,9.69834,-1.83161e-14
 ghsarp-5-10-3,5,10,2,33.1785,17.0983,30.0196,1,0.01,20.2573,Optimal,11.5268,11.5268,-1.54106e-14
 ghsarp-5-10-4,5,10,2,29.9629,16.939,31.6618,1,0.01,15.24,Optimal,14.4246,14.4246,0
 ghsarp-5-10-5,5,10,3,38.9857,20.499,30.6756,3,0,28.8091,Optimal,14.7242,14.7242,0
 ghsarp-5-10-6,5,10,2,45.9732,16.0276,38.5839,2,0,23.4169,Optimal,13.6568,13.6568,0
 ghsarp-5-10-7,5,10,3,41.2887,22.6305,34.9894,2,0.01,28.9298,Optimal,15.9365,15.9365,-1.11464e-14
 ghsarp-5-10-8,5,10,3,45.8784,21.4635,32.9038,2,0.01,34.4381,Optimal,9.74268,9.74268,0
 ghsarp-5-10-9,5,10,3,42.2549,21.842,36.3299,1,0,27.767,Optimal,14.8168,14.8168,0
 ghsarp-5-5-0,5,5,2,38.2049,13.9593,31.4879,1,0,20.6763,Optimal,11.1376,11.1376,-1.59491e-14
 ghsarp-5-5-1,5,5,3,34.946,19.5744,27.7628,2,0,26.7576,Optimal,11.1242,11.1242,0
 ghsarp-5-5-2,5,5,2,44.0306,25.0912,40.721,1,0.01,28.4008,Optimal,20.4977,20.4977,0
 ghsarp-5-5-3,5,5,2,36.2397,13.5559,35.132,1,0,14.6635,Optimal,11.2292,11.2292,-1.58191e-14
 ghsarp-5-5-4,5,5,2,49.4731,17.1216,39.503,2,0,27.0917,Optimal,14.1813,14.1813,0
 ghsarp-5-5-5,5,5,2,34.0623,12.8288,23.8556,2,0,23.0355,Optimal,7.41646,7.41646,-1.19758e-14
 ghsarp-5-5-6,5,5,2,49.6276,14.6349,37.8175,2,0,26.445,Optimal,6.98786,6.98786,0
 ghsarp-5-5-7,5,5,3,30.7271,17.5226,38.3465,1,0,9.90324,Optimal,11.5712,11.5712,-1.53516e-14
 ghsarp-5-5-8,5,5,2,63.5038,17.4801,50.6708,2,0,30.3131,Optimal,10.2121,10.2121,0
 ghsarp-5-5-9,5,5,2,44.2943,16.1007,41.6502,1,0,18.7447,Optimal,12.3425,12.3425,0
 ghsarp-5-6-0,5,6,3,45.4932,23.4737,34.3648,2,0,34.6022,Optimal,14.6003,14.6003,0
 ghsarp-5-6-1,5,6,3,36.9504,18.9204,39.8654,1,0.01,16.0053,Optimal,9.46,9.46,0
 ghsarp-5-6-2,5,6,1,37.7023,7.15228,29.7684,2,0,15.0861,Optimal,5.50272,5.50272,0
 ghsarp-5-6-3,5,6,2,45.2831,13.1741,33.315,2,0.01,25.1421,Optimal,9.1721,9.1721,0
 ghsarp-5-6-4,5,6,2,53.1955,14.283,35.5184,2,0.01,31.9601,Optimal,12.4191,12.4191,0
