
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 sfsarp-10-10-1,0,1.68697,1.68049,0.0141244,3.38159,0,49.887,49.6953,0.417685
 sfsarp-10-10-2,0.166889,1.51348,1.50781,0.00526098,3.19344,5.22598,47.3935,47.2158,0.164743
 sfsarp-10-10-3,0,1.6864,1.67674,0.00933415,3.37247,0,50.0048,49.7185,0.276774
 sfsarp-10-10-4,0,1.68786,1.67946,0.0162244,3.38354,0,49.8844,49.6361,0.47951
 sfsarp-10-10-5,0,1.69492,1.68371,0.00929512,3.38792,0,50.0281,49.6975,0.27436
 sfsarp-10-15-1,0,1.69176,1.67966,0.011222,3.38265,0,50.0129,49.6553,0.331751
 sfsarp-10-15-2,0,1.6815,1.67523,0.00907317,3.3658,0,49.9583,49.7722,0.269569
 sfsarp-10-15-3,0,1.68253,1.67342,0.0069,3.36285,0,50.0329,49.7619,0.205183
 sfsarp-10-15-4,0,1.67573,1.6724,0.00669512,3.35482,0,49.9497,49.8507,0.199567
 sfsarp-10-15-5,0.166674,1.50891,1.50335,0.00576585,3.1847,5.23358,47.38,47.2053,0.181049
 sfsarp-10-20-1,0,1.68699,1.67594,0.00973659,3.37266,0,50.0195,49.6918,0.288691
 sfsarp-10-20-2,0.166889,1.51014,1.50748,0.00441951,3.18893,5.23337,47.3558,47.2723,0.138589
 sfsarp-10-20-3,0,1.67513,1.67054,0.00462195,3.35029,0,49.9994,49.8627,0.137957
 sfsarp-10-20-4,0,1.68365,1.67841,0.0041122,3.36618,0,50.0168,49.861,0.122162
 sfsarp-10-20-5,0,1.67961,1.67118,0.00661707,3.35741,0,50.0269,49.776,0.197089
 sfsarp-10-30-1,0,1.68241,1.67791,0.00799024,3.36831,0,49.9482,49.8146,0.237218
 sfsarp-10-30-2,0,1.67621,1.67149,0.00443415,3.35213,0,50.0043,49.8634,0.132278
 sfsarp-10-30-3,0,1.67729,1.67191,0.00538293,3.35458,0,50.0001,49.8395,0.160465
 sfsarp-10-30-4,0,1.68084,1.67025,0.0093439,3.36043,0,50.0186,49.7033,0.278056
 sfsarp-10-30-5,0,1.69093,1.6839,0.0152024,3.39003,0,49.8794,49.6722,0.448446
 sfsarp-15-10-1,0.842058,1.68154,1.67776,0.0164488,4.21781,19.9643,39.8677,39.7779,0.389984
 sfsarp-15-10-2,0.838204,1.68285,1.67496,0.0112171,4.20723,19.9229,39.9989,39.8115,0.266614
 sfsarp-15-10-3,0.834797,1.681,1.67323,0.00826098,4.19729,19.889,40.0496,39.8647,0.196817
 sfsarp-15-10-4,0.842063,1.68227,1.67164,0.0117098,4.20769,20.0125,39.9809,39.7283,0.278294
 sfsarp-15-10-5,0.841672,1.67721,1.67841,0.0224098,4.21971,19.9462,39.7471,39.7756,0.531074
 sfsarp-15-15-1,0,2.52473,2.50779,0.0143366,5.04685,0,50.0258,49.6901,0.28407
 sfsarp-15-15-2,0,2.5234,2.50415,0.0135317,5.04108,0,50.0567,49.6749,0.268429
 sfsarp-15-15-3,0,2.52476,2.50981,0.0138171,5.04839,0,50.0113,49.715,0.273693
 sfsarp-15-15-4,0,2.53506,2.52461,0.0127122,5.07239,0,49.9777,49.7717,0.250616
 sfsarp-15-15-5,0,2.51866,2.50927,0.0111415,5.03907,0,49.9827,49.7962,0.221102
 sfsarp-15-20-1,0.166689,2.35335,2.35492,0.0213341,4.89629,3.40439,48.0639,48.096,0.435721
 sfsarp-15-20-2,0.166801,2.35246,2.33838,0.0123415,4.86997,3.42509,48.3053,48.0162,0.253419
 sfsarp-15-20-3,0,2.51342,2.50571,0.0102878,5.02942,0,49.9744,49.8211,0.204553
 sfsarp-15-20-4,0,2.52363,2.51157,0.0136073,5.0488,0,49.9847,49.7458,0.269516
 sfsarp-15-20-5,0,2.52292,2.51921,0.0154488,5.05759,0,49.8839,49.8106,0.305457
 sfsarp-15-30-1,0.334833,2.18808,2.18387,0.0199537,4.72674,7.08382,46.2916,46.2024,0.422144
 sfsarp-15-30-2,0,2.52866,2.51175,0.0278146,5.06823,0,49.8924,49.5588,0.548804
 sfsarp-15-30-3,0.167545,2.34865,2.34268,0.00933902,4.86821,3.44161,48.2447,48.1219,0.191837
 sfsarp-15-30-4,0,2.53368,2.51114,0.0165561,5.06138,0,50.0592,49.6137,0.327107
 sfsarp-15-30-5,0,2.52343,2.52028,0.00979024,5.05349,0,49.9343,49.872,0.193732
 sfsarp-20-10-1,1.67224,1.68805,1.6791,0.0217268,5.06112,33.041,33.3533,33.1764,0.429289
 sfsarp-20-10-2,1.67355,1.67681,1.67169,0.0139878,5.03604,33.2314,33.2962,33.1946,0.277754
 sfsarp-20-10-3,1.67495,1.68687,1.67573,0.0112683,5.04882,33.1751,33.4111,33.1906,0.223187
 sfsarp-20-10-4,1.66967,1.68672,1.6747,0.0157659,5.04685,33.0834,33.4211,33.1831,0.31239
 sfsarp-20-10-5,1.68025,1.68147,1.66923,0.015622,5.04657,33.2949,33.319,33.0766,0.309556
 sfsarp-5-15-1,0,0.838809,0.834777,0.00208049,1.67567,0,50.0582,49.8176,0.124159
 sfsarp-5-15-2,0,0.842309,0.833611,0.00361951,1.67954,0,50.1512,49.6333,0.215506
 sfsarp-5-15-3,0,0.852507,0.842314,0.00186341,1.69668,0,50.2455,49.6447,0.109827
 sfsarp-5-15-4,0,0.837426,0.835004,0.00246585,1.6749,0,49.9987,49.8541,0.147224
 sfsarp-5-15-5,0,0.836802,0.83605,0.00220732,1.67506,0,49.9565,49.9117,0.131775
 sfsarp-5-20-1,0,0.841038,0.838243,0.00267073,1.68195,0,50.0037,49.8375,0.158788
 sfsarp-5-20-2,0,0.848567,0.844272,0.00365366,1.69649,0,50.0189,49.7657,0.215365
 sfsarp-5-20-3,0,0.848128,0.838202,0.0048439,1.69117,0,50.1503,49.5633,0.286422
 sfsarp-5-20-4,0,0.843511,0.835287,0.0077439,1.68654,0,50.0142,49.5266,0.459159
 sfsarp-5-20-5,0,0.839687,0.835948,0.00307317,1.67871,0,50.0198,49.7971,0.183068
 sfsarp-5-30-1,0,0.841089,0.836014,0.00566585,1.68277,0,49.9825,49.6808,0.336698
 sfsarp-5-30-2,0,0.843916,0.839458,0.00373902,1.68711,0,50.0213,49.7571,0.221623
 sfsarp-5-30-3,0,0.838097,0.837709,0.00857561,1.68438,0,49.7569,49.7339,0.509125
 sfsarp-5-30-4,0,0.847228,0.843021,0.0225683,1.71282,0,49.464,49.2184,1.31761
 sfsarp-5-30-5,0,0.846811,0.841558,0.00577805,1.69415,0,49.9845,49.6744,0.341059
