 1A
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 sfsarp-20-15-1,1.17868,2.26358,0.501141,1.92766,5.87107,20.0761,38.5548,8.53578,32.8333
 sfsarp-20-15-2,1.35987,2.09144,0.335589,2.11163,5.89852,23.0543,35.4569,5.68938,35.7994
 sfsarp-20-15-3,1.27148,2.59616,0.422601,1.60605,5.89629,21.564,44.0305,7.16724,27.2383
 sfsarp-20-15-4,0.844863,2.85567,0.843992,1.35,5.89453,14.333,48.4462,14.3182,22.9026
 sfsarp-20-15-5,0.929984,2.77493,0.751966,1.43188,5.88877,15.7925,47.1225,12.7695,24.3155
 sfsarp-20-20-1,0.507124,4.19137,1.17321,0.844263,6.71596,7.55103,62.409,17.469,12.571
 sfsarp-20-20-2,0.593402,4.01411,1.08856,1.09821,6.79429,8.73383,59.0807,16.0217,16.1638
 sfsarp-20-20-3,0.757866,3.94312,0.92843,1.09628,6.7257,11.2682,58.6277,13.8042,16.2999
 sfsarp-20-20-4,1.01705,3.5325,0.67775,1.51329,6.74058,15.0884,52.4064,10.0548,22.4504
 sfsarp-20-20-5,0.586465,3.95365,1.08697,1.09975,6.72684,8.71828,58.7743,16.1587,16.3487
 sfsarp-20-30-1,0.860375,5.1078,0.836514,1.59507,8.39976,10.2428,60.8089,9.95878,18.9895
 sfsarp-20-30-2,0.928484,5.3777,0.7522,1.35268,8.41107,11.0388,63.936,8.94298,16.0822
 sfsarp-20-30-3,0.25099,6.19968,1.42311,0.507012,8.38079,2.99483,73.9749,16.9806,6.04969
 sfsarp-20-30-4,0.589916,5.61813,1.0937,1.09214,8.39387,7.02794,66.9313,13.0297,13.0111
 sfsarp-20-30-5,0.428872,5.77357,1.26205,0.931574,8.39607,5.108,68.7652,15.0315,11.0954
 sfsarp-30-10-1,1.59871,2.17598,0.919959,2.014,6.70864,23.8306,32.4355,13.713,30.0209
 sfsarp-30-10-2,1.52092,2.09434,1.01027,2.10599,6.73152,22.594,31.1124,15.0081,31.2855
 sfsarp-30-10-3,2.10689,1.6813,0.417062,2.52557,6.73082,31.3022,24.9791,6.1963,37.5224
 sfsarp-30-10-4,1.34765,2.59375,1.17013,1.61241,6.72394,20.0426,38.5748,17.4025,23.9802
 sfsarp-30-10-5,2.10481,1.7687,0.424006,2.44052,6.73804,31.2377,26.2495,6.29271,36.2201
 sfsarp-30-15-1,1.34559,3.1091,1.17429,2.0314,7.66038,17.5655,40.5868,15.3293,26.5183
 sfsarp-30-15-2,1.85291,2.68285,0.673979,2.36048,7.57022,24.4763,35.4395,8.90303,31.1812
 sfsarp-30-15-3,0.66784,4.02987,1.84716,1.09114,7.63601,8.74593,52.7746,24.1901,14.2894
 sfsarp-30-15-4,1.51739,3.10452,1.0128,1.93713,7.57184,20.0399,41.0009,13.3759,25.5833
 sfsarp-30-15-5,1.69778,2.77356,0.839031,2.27663,7.587,22.3775,36.5567,11.0588,30.007
 sfsarp-30-20-1,1.51386,3.85291,1.00845,2.01394,8.38916,18.0454,45.9272,12.0208,24.0065
 sfsarp-30-20-2,1.77368,3.36111,0.752188,2.53448,8.42145,21.0614,39.9113,8.93181,30.0955
 sfsarp-30-20-3,1.01106,3.9407,1.51995,1.94462,8.41633,12.0131,46.8221,18.0595,23.1053
 sfsarp-30-20-4,1.5933,3.61779,0.926586,2.26187,8.39955,18.9689,43.0712,11.0314,26.9285
 sfsarp-30-20-5,1.43486,3.76196,1.08603,2.10564,8.38849,17.1051,44.8467,12.9466,25.1016
 sfsarp-30-30-1,0.597441,6.53948,1.92704,1.0158,10.0798,5.92713,64.8773,19.1179,10.0777
 sfsarp-30-30-2,1.59409,5.02692,0.921269,2.52351,10.0658,15.8367,49.9407,9.15248,25.0701
 sfsarp-30-30-3,0.752771,5.94352,1.7592,1.6022,10.0577,7.48453,59.0942,17.4911,15.9301
 sfsarp-30-30-4,1.08799,5.94477,1.42307,1.6788,10.1346,10.7354,58.658,14.0416,16.565
 sfsarp-30-30-5,1.00965,5.51674,1.51164,2.01845,10.0565,10.0398,54.8575,15.0315,20.0711
