Instance,SumCol2,SumCol3,SumCol4,Col5_from_csv2,Col6_from_csv2,Col7_from_csv2,Status
ghsarp,,,,,,,
ghsarp-10-5-0,0.28,52.7157,52.7157,5.0,1.9593,80.332,Feasible
ghsarp-10-5-1,0.27,63.3054,63.3054,5.0,1.3547,55.544,Feasible
ghsarp-10-5-2,0.25,48.7419,48.7419,5.0,1.6654,68.282,Feasible
ghsarp-10-5-3,0.29,45.7271,45.7271,4.0,1.3594,55.736,Feasible
ghsarp-10-5-4,0.4,43.9291,43.9291,5.0,1.4285,58.57,Feasible
ghsarp-10-5-5,0.37,56.4508,56.4508,5.0,1.5248,62.516,Feasible
ghsarp-10-5-6,0.29,47.3014,47.3014,5.0,1.6107,66.038,Feasible
ghsarp-10-5-7,0.32,58.5016,58.5016,5.0,1.5099,61.906,Feasible
ghsarp-10-5-8,0.32,65.3706,65.3706,5.0,1.3338,54.686,Feasible
ghsarp-10-5-9,0.3,45.4974,45.4974,5.0,1.8981,77.82,Feasible
ghsarp-5-10-0,0.15,44.5824,53.355,9.0,0.9841,40.348,Feasible
ghsarp-5-10-1,0.1,49.8087,66.3348,10.0,0.5953,24.408,Feasible
ghsarp-5-10-2,0.08,31.4347,44.4893,10.0,1.6354,67.05,Feasible
ghsarp-5-10-3,0.06,31.1182,47.1206,9.0,0.386,15.824,Feasible
ghsarp-5-10-4,0.04,23.5972,43.0525,10.0,0.2746,11.26,Feasible
ghsarp-5-10-5,0.18,38.9183,60.4547,10.0,0.7583,31.092,Feasible
ghsarp-5-10-6,0.14,27.8037,43.4049,10.0,1.1509,47.188,Feasible
ghsarp-5-10-7,0.14,39.7961,52.7503,10.0,0.7506,30.774,Feasible
ghsarp-5-10-8,0.14,45.0912,70.2433,9.0,0.24,9.84,Feasible
ghsarp-5-10-9,0.05,37.5327,49.2378,9.0,0.8417,34.51,Feasible
ghsarp-5-5-1,0.04,30.6884,32.9424,5.0,0.8979,36.812,Feasible
ghsarp-5-5-2,0.02,33.1312,33.4652,5.0,0.943,38.664,Feasible
ghsarp-5-5-3,0.02,20.6094,20.6094,3.0,1.0583,43.392,Feasible
ghsarp-5-5-4,0.03,40.3685,40.3685,5.0,0.9728,39.886,Feasible
ghsarp-5-5-5,0.04,27.8815,27.8815,5.0,1.0275,42.128,Feasible
ghsarp-5-5-6,0.05,33.356,33.356,4.0,1.1799,48.374,Feasible
ghsarp-5-5-7,0.02,14.7811,14.7811,5.0,1.5999,65.598,Feasible
ghsarp-5-5-8,0.04,35.7434,35.7434,5.0,1.3054,53.522,Feasible
ghsarp-5-5-9,0.02,25.0574,26.052,5.0,1.3523,55.446,Feasible
ghsarp-5-6-0,0.06,45.6822,45.6822,5.0,0.8146,33.398,Feasible
ghsarp-5-6-1,0.02,23.8458,25.3991,6.0,1.1744,48.15,Feasible
ghsarp-5-6-2,0.11,21.0448,25.2054,6.0,1.37,56.17,Feasible
ghsarp-5-6-3,0.09,32.4592,32.4592,5.0,0.8284,33.964,Feasible
ghsarp-5-6-4,0.05,37.8375,38.823,6.0,1.362,55.842,Feasible
ghsarp-5-6-5,0.04,35.7531,42.3896,6.0,1.0071,41.292,Feasible
ghsarp-5-6-6,0.06,37.0254,37.0254,5.0,0.9819,40.258,Feasible
ghsarp-5-6-7,0.04,31.7326,35.215,6.0,1.3412,54.988,Feasible
ghsarp-5-6-8,0.07,38.2344,41.0814,6.0,0.6672,27.356,Feasible
ghsarp-5-6-9,0.05,37.415,37.415,5.0,0.831,34.07,Feasible
ghsarp-5-7-0,0.2,29.2048,32.9808,7.0,1.2765,52.336,Feasible
ghsarp-5-7-1,0.02,27.478,32.587,7.0,1.2173,49.908,Feasible
ghsarp-5-7-2,0.09,33.794,37.1652,7.0,1.2414,50.898,Feasible
ghsarp-5-7-3,0.04,28.7719,33.8655,7.0,1.4161,58.06,Feasible
ghsarp-5-7-4,0.06,25.4003,28.8067,6.0,1.0556,43.278,Feasible
ghsarp-5-7-5,0.06,36.252,39.4348,7.0,0.9852,40.392,Feasible
ghsarp-5-7-6,0.03,30.6156,33.5069,5.0,0.1155,4.736,Feasible
ghsarp-5-7-7,0.03,32.5772,43.3166,7.0,0.2496,10.232,Feasible
ghsarp-5-7-8,0.07,37.5062,43.9736,7.0,1.0365,42.496,Feasible
ghsarp-5-7-9,0.03,34.0099,41.4568,7.0,0.9288,38.08,Feasible
ghsarp-5-8-0,0.02,25.6736,34.7476,8.0,0.4282,17.558,Feasible
ghsarp-5-8-1,0.07,30.2639,40.2139,8.0,1.0487,42.996,Feasible
ghsarp-5-8-2,0.12,35.1049,45.0971,8.0,1.4095,57.788,Feasible
ghsarp-5-8-3,0.13,37.242,43.0726,8.0,1.5894,65.166,Feasible
ghsarp-5-8-4,0.04,39.524,40.4933,8.0,1.4592,59.828,Feasible
ghsarp-5-8-5,0.03,29.3932,35.7909,7.0,1.0623,43.556,Feasible
ghsarp-5-8-6,0.09,32.4638,40.1516,8.0,0.8462,34.694,Feasible
ghsarp-5-8-7,0.1,36.3858,41.528,8.0,1.1322,46.42,Feasible
ghsarp-5-8-8,0.08,32.3015,42.6845,8.0,1.2989,53.256,Feasible
ghsarp-5-8-9,0.12,30.0832,39.3729,8.0,0.9846,40.37,Feasible
ghsarp-5-9-0,0.14,35.6403,49.5536,9.0,0.6797,27.868,Feasible
ghsarp-5-9-1,0.1,32.4721,42.4764,9.0,0.9047,37.092,Feasible
ghsarp-5-9-2,0.12,31.0133,37.6588,9.0,1.3999,57.394,Feasible
ghsarp-5-9-3,0.1,28.4605,36.4333,9.0,1.7349,71.132,Feasible
ghsarp-5-9-4,0.12,28.7661,36.8992,9.0,1.6589,68.016,Feasible
ghsarp-5-9-5,0.05,35.4679,36.6336,9.0,0.4249,17.42,Feasible
ghsarp-5-9-6,0.2,34.925,44.5714,8.0,0.7857,32.212,Feasible
ghsarp-5-9-7,0.12,34.355,43.3281,9.0,1.0933,44.824,Feasible
ghsarp-5-9-8,0.04,33.0314,39.3643,9.0,1.2973,53.188,Feasible
ghsarp-5-9-9,0.04,46.6668,61.3508,9.0,0.4568,18.728,Feasible
ghsarp-6-5-0,0.0,35.9934,39.0196,5.0,1.2984,53.234,Feasible
ghsarp-6-5-1,0.06,36.0994,36.0994,5.0,1.0095,41.39,Feasible
ghsarp-6-5-2,0.06,28.5797,30.6188,5.0,1.4632,59.99,Feasible
ghsarp-6-5-3,0.08,30.9894,30.9894,4.0,1.1359,46.57,Feasible
ghsarp-6-5-4,0.1,40.3669,40.3669,5.0,1.3192,54.088,Feasible
ghsarp-6-5-5,0.08,40.5522,40.5522,5.0,1.3278,54.442,Feasible
ghsarp-6-5-6,0.05,38.3706,38.3706,5.0,1.1947,48.984,Feasible
ghsarp-6-5-7,0.02,34.3337,34.3337,5.0,1.5017,61.57,Feasible
ghsarp-6-5-8,0.05,36.0062,36.0062,5.0,1.1472,47.034,Feasible
ghsarp-6-5-9,0.09,40.8351,40.8351,5.0,1.1096,45.494,Feasible
ghsarp-6-6-0,0.03,32.0478,32.981,6.0,1.3425,55.042,Feasible
ghsarp-6-6-1,0.12,29.9944,29.9944,6.0,1.3755,56.396,Feasible
ghsarp-6-6-2,0.07,35.6396,35.6396,5.0,1.1706,47.994,Feasible
ghsarp-6-6-3,0.09,36.7876,36.7876,6.0,1.3663,56.02,Feasible
ghsarp-6-6-4,0.02,18.9603,22.3667,6.0,1.7961,73.64,Feasible
ghsarp-6-6-5,0.13,45.0702,45.0702,6.0,0.7682,31.498,Feasible
ghsarp-6-6-6,0.11,35.7288,35.7288,5.0,1.0108,41.444,Feasible
ghsarp-6-6-7,0.11,53.2385,53.2385,6.0,0.8689,35.626,Feasible
ghsarp-6-6-8,0.12,34.7989,38.541,5.0,1.1494,47.126,Feasible
ghsarp-6-6-9,0.09,39.5006,39.5006,6.0,1.2649,51.86,Feasible
ghsarp-6-7-0,0.31,34.2904,40.2343,7.0,1.0266,42.09,Feasible
ghsarp-6-7-1,0.2,34.9183,39.1943,7.0,1.3448,55.138,Feasible
ghsarp-6-7-2,0.13,32.7175,35.9982,7.0,1.4993,61.47,Feasible
ghsarp-6-7-3,0.03,34.0919,37.5036,7.0,0.7859,32.22,Feasible
ghsarp-6-7-4,0.11,51.3114,52.9187,6.0,0.9378,38.448,Feasible
ghsarp-6-7-5,0.12,42.9036,46.2018,7.0,0.9747,39.964,Feasible
ghsarp-6-7-6,0.16,32.9615,34.9295,7.0,1.7132,70.24,Feasible
ghsarp-6-7-7,0.25,44.7029,44.7029,6.0,0.872,35.75,Feasible
ghsarp-6-7-8,0.11,40.6494,42.6904,7.0,1.3229,54.238,Feasible
ghsarp-6-7-9,0.13,38.5786,41.6404,7.0,0.8202,33.63,Feasible
ghsarp-6-8-0,0.17,35.981,48.426,8.0,1.0673,43.758,Feasible
ghsarp-6-8-1,0.2,37.1088,42.6391,8.0,1.0986,45.042,Feasible
ghsarp-6-8-2,0.15,34.0317,41.1833,8.0,1.0933,44.826,Feasible
ghsarp-6-8-3,0.03,36.6795,37.1156,7.0,1.5448,63.338,Feasible
ghsarp-6-8-4,0.2,40.4949,43.8363,8.0,1.1793,48.352,Feasible
ghsarp-6-8-5,0.05,42.3068,47.0757,8.0,0.893,36.612,Feasible
ghsarp-6-8-6,0.23,46.7863,51.0981,7.0,0.5883,24.122,Feasible
ghsarp-6-8-7,0.13,39.4159,41.4791,8.0,1.2389,50.794,Feasible
ghsarp-6-8-8,0.23,41.1098,44.628,8.0,1.0423,42.734,Feasible
ghsarp-6-8-9,0.15,52.308,59.6728,8.0,0.872,35.75,Feasible
ghsarp-6-9-0,0.5,40.8258,46.7184,8.0,1.5296,62.712,Feasible
ghsarp-6-9-1,0.24,54.4081,65.6306,9.0,0.8536,34.998,Feasible
ghsarp-6-9-2,0.25,41.2128,49.6466,9.0,1.3203,54.132,Feasible
ghsarp-6-9-3,0.07,40.9567,51.1829,8.0,0.5669,23.244,Feasible
ghsarp-6-9-4,0.21,34.1961,37.4262,9.0,1.8349,75.232,Feasible
ghsarp-6-9-5,0.23,45.2316,54.5935,9.0,1.2005,49.222,Feasible
ghsarp-6-9-6,0.21,42.2927,47.6237,9.0,0.9573,39.248,Feasible
ghsarp-6-9-7,0.22,39.7424,46.6425,9.0,1.1476,47.052,Feasible
ghsarp-6-9-8,0.29,48.2528,59.3241,8.0,0.4957,20.322,Feasible
ghsarp-6-9-9,0.35,41.2041,43.3166,7.0,1.1919,48.866,Feasible
ghsarp-7-5-0,0.12,33.1716,33.4149,5.0,1.184,48.542,Feasible
ghsarp-7-5-1,0.19,29.0279,29.0279,5.0,1.5411,63.186,Feasible
ghsarp-7-5-2,0.27,34.7521,34.7521,5.0,1.5676,64.272,Feasible
ghsarp-7-5-3,0.13,38.6172,38.6172,5.0,1.3778,56.49,Feasible
ghsarp-7-5-4,0.11,25.9075,25.9075,5.0,1.3726,56.276,Feasible
ghsarp-7-5-5,0.03,33.6337,33.6337,4.0,1.0315,42.29,Feasible
ghsarp-7-5-6,0.1,34.5176,34.5176,4.0,0.9749,39.97,Feasible
ghsarp-7-5-7,0.1,45.8356,45.8356,5.0,1.4982,61.424,Feasible
ghsarp-7-5-8,0.09,33.1493,33.4992,5.0,1.7373,71.23,Feasible
ghsarp-7-5-9,0.12,41.0721,41.0721,5.0,1.1256,46.15,Feasible
